x,y
0.000000000000000000e+00,0.000000000000000000e+00
7.070707070707070441e-02,2.140003310645775120e-02
1.414141414141414088e-01,9.105400903212819419e-02
2.121212121212120993e-01,2.165903305967046832e-01
2.828282828282828176e-01,4.045302315975323193e-01
3.535353535353535359e-01,6.598301994830572115e-01
4.242424242424241987e-01,9.854545199439005421e-01
4.949494949494949170e-01,1.382005413342961342e+00
5.656565656565656353e-01,1.847436988747943598e+00
6.363636363636363535e-01,2.376876193773689305e+00
7.070707070707070718e-01,2.962569189693207150e+00
7.777777777777777901e-01,3.593965359426999573e+00
8.484848484848483974e-01,4.257943803227925095e+00
9.191919191919191157e-01,4.939179128683539588e+00
9.898989898989898339e-01,5.620635098793433926e+00
1.060606060606060552e+00,6.284166796536712951e+00
1.131313131313131271e+00,6.911204923300409142e+00
1.202020202020201989e+00,7.483490155837034585e+00
1.272727272727272707e+00,7.983821548366804244e+00
1.343434343434343425e+00,8.396781081549166359e+00
1.414141414141414144e+00,8.709396796196660517e+00
1.484848484848484862e+00,8.911709530200093710e+00
1.555555555555555580e+00,8.997212977384259958e+00
1.626262626262626299e+00,8.963143340687219407e+00
1.696969696969696795e+00,8.810602868318166969e+00
1.767676767676767513e+00,8.544510550729139453e+00
1.838383838383838231e+00,8.173382662696374368e+00
1.909090909090908950e+00,7.708955074568466515e+00
1.979797979797979668e+00,7.165667757146365169e+00
2.050505050505050608e+00,6.560039143238848958e+00
2.121212121212121104e+00,5.909963548619955098e+00
2.191919191919192045e+00,5.233968373333098612e+00
2.262626262626262541e+00,4.550469113838081725e+00
2.333333333333333037e+00,3.877059276744107219e+00
2.404040404040403978e+00,3.229869202534811023e+00
2.474747474747474474e+00,2.623022827274338109e+00
2.545454545454545414e+00,2.068214894934857107e+00
2.616161616161615910e+00,1.574423537298912601e+00
2.686868686868686851e+00,1.147764975221770456e+00
2.757575757575757347e+00,7.914888988582756690e-01
2.828282828282828287e+00,5.061053739391423445e-01
2.898989898989898784e+00,2.896273638010421481e-01
2.969696969696969724e+00,1.379075380607552026e-01
3.040404040404040220e+00,4.504423783309951385e-02
3.111111111111111160e+00,3.829441544332985638e-03
3.181818181818181657e+00,6.211353636381040065e-03
3.252525252525252597e+00,4.374572451349498237e-02
3.323232323232323093e+00,1.080129946839803040e-01
3.393939393939393590e+00,1.909825371014940709e-01
3.464646464646464530e+00,2.853102806341645814e-01
3.535353535353535026e+00,3.845614296517329000e-01
3.606060606060605966e+00,4.833554409085387138e-01
3.676767676767676463e+00,5.774354968344577177e-01
3.747474747474747403e+00,6.636690958571226373e-01
3.818181818181817899e+00,7.399898136902858248e-01
3.888888888888888840e+00,8.052926144669907416e-01
3.959595959595959336e+00,8.592962458731713271e-01
4.030303030303030276e+00,9.023862746008302071e-01
4.101010101010101216e+00,9.354513329526347176e-01
4.171717171717171269e+00,9.597233527819889476e-01
4.242424242424242209e+00,9.766302093721935806e-01
4.313131313131313149e+00,9.876665625547625948e-01
4.383838383838384090e+00,9.942860434954144955e-01
4.454545454545454142e+00,9.978155471693818113e-01
4.525252525252525082e+00,9.993904605382084583e-01
4.595959595959596022e+00,9.999083295963404616e-01
4.666666666666666075e+00,9.999978156046486211e-01
4.737373737373737015e+00,9.999998051836879176e-01
4.808080808080807955e+00,9.999581397317774956e-01
4.878787878787878896e+00,9.996184726007604215e-01
4.949494949494948948e+00,9.984350561845651839e-01
5.020202020202019888e+00,9.955865876139315951e-01
5.090909090909090828e+00,9.900033797070746377e-01
5.161616161616161769e+00,9.804088717165541089e-01
5.232323232323231821e+00,9.653786922266210935e-01
5.303030303030302761e+00,9.434200335287982186e-01
5.373737373737373701e+00,9.130729637553310907e-01
5.444444444444444642e+00,8.730335380970362102e-01
5.515151515151514694e+00,8.222962974658716284e-01
5.585858585858585634e+00,7.603111528997723578e-01
5.656565656565656575e+00,6.871469894495710884e-01
5.727272727272726627e+00,6.036518578137555213e-01
5.797979797979797567e+00,5.115976357807504593e-01
5.868686868686868507e+00,4.137957954073970268e-01
5.939393939393939448e+00,3.141706218716308063e-01
6.010101010101009500e+00,2.177770448889297938e-01
6.080808080808080440e+00,1.307522273659651180e-01
6.151515151515151381e+00,6.019317645312707854e-02
6.222222222222222321e+00,1.395676779620434911e-02
6.292929292929292373e+00,3.834784331785489968e-04
6.363636363636363313e+00,2.795149965716868523e-02
6.434343434343434254e+00,1.048733791385925845e-01
6.505050505050505194e+00,2.386525173696606161e-01
6.575757575757575246e+00,4.356213077659662480e-01
6.646464646464646187e+00,7.004860800901293594e-01
6.717171717171717127e+00,1.035905958705254148e+00
6.787878787878787179e+00,1.442133041625310641e+00
6.858585858585858119e+00,1.916739812337882709e+00
6.929292929292929060e+00,2.454456405405430974e+00
7.000000000000000000e+00,3.047135378811531847e+00
